Date,Receipt_Number,Reference,Voucher_Type,Party_Ledger_Name,Ledger_Parent,Amount_Received,State_Name
31-05-2026,,,Receipt,TASSEL TEXTILE,Calcutta Debtors,26201.0,
31-05-2026,,,Receipt,BANK OF BARODA - 96960500000027 (CC),Bank Accounts,26201.0,
31-05-2026,,,Receipt,TASSEL TEXTILE,Calcutta Debtors,200000.0,
31-05-2026,,,Receipt,BANK OF BARODA - 96960500000027 (CC),Bank Accounts,200000.0,
01-06-2026,,,Receipt,Prerana Engineers & Consultants Pvt.Ltd.,Loans (Liability),100000.0,
01-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,100000.0,
01-06-2026,,,Receipt,Goodpoint Agro Products Pvt.Ltd.,MILLTEC DEBTORS,150692.0,
01-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,150692.0,
01-06-2026,,,Receipt,CHOWRINGHEE RESIDENCY PVT. LTD.,Calcutta Debtors,59000.0,
01-06-2026,,,Receipt,Incometax Deducted At Source,Direct Expenses,500.0,
01-06-2026,,,Receipt,BANK OF BARODA - 96960500000027 (CC),Bank Accounts,58500.0,
01-06-2026,,,Receipt,THERMAX LTD. (ENVIRO DIVISION),Calcutta Debtors,383028.0,
01-06-2026,,,Receipt,Incometax Deducted At Source,Direct Expenses,44994.0,
01-06-2026,,,Receipt,BANK OF BARODA - 96960500000027 (CC),Bank Accounts,338034.0,
02-06-2026,,,Receipt,Buroraj Rice Mill,MILLTEC DEBTORS,71626.0,
02-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,71626.0,
02-06-2026,,,Receipt,AMBER RICE MILL PRIVTE LIMITED,MILLTEC DEBTORS,61077.0,
02-06-2026,,,Receipt,BANK OF BARODA - 96960500000027 (CC),Bank Accounts,61077.0,
02-06-2026,,,Receipt,MANI'S FACIALITY MANAGEMENT PVT LTD (QUEENS PARK),Calcutta Debtors,29117.0,
02-06-2026,,,Receipt,Incometax Deducted At Source,Direct Expenses,247.0,
02-06-2026,,,Receipt,BANK OF BARODA - 96960500000027 (CC),Bank Accounts,28870.0,
02-06-2026,,,Receipt,RAJ KNIT AND DYING MILLS,Burdwan Debtors,26232.0,
02-06-2026,,,Receipt,BANK OF BARODA - 96960500000027 (CC),Bank Accounts,26232.0,
02-06-2026,,,Receipt,Prerana Engineers & Consultants Pvt.Ltd.,Loans (Liability),100000.0,
02-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,100000.0,
02-06-2026,,,Receipt,Ma Dashabhuja Rice Mill,MILLTEC DEBTORS,50000.0,
02-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,50000.0,
02-06-2026,,,Receipt,BHOLASHANKAR AGRO PRODUCT PRIVATE LIMITED,MILLTEC DEBTORS,15930.0,
02-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,15930.0,
02-06-2026,,,Receipt,MANI'S FACILITY MANAGEMENT PVT LTD.(SWARNAMANI-T5),Calcutta Debtors,135818.0,
02-06-2026,,,Receipt,Incometax Deducted At Source,Direct Expenses,1151.0,
02-06-2026,,,Receipt,BANK OF BARODA - 96960500000027 (CC),Bank Accounts,134667.0,
02-06-2026,,,Receipt,Smritikona Agro Products Pvt. Ltd.,MILLTEC DEBTORS,216585.0,
02-06-2026,,,Receipt,BANK OF BARODA - 96960500000027 (CC),Bank Accounts,216585.0,
02-06-2026,,,Receipt,SPINTECH TUBES PVT LTD,Calcutta Debtors,136155.0,
02-06-2026,,,Receipt,BANK OF BARODA - 96960500000027 (CC),Bank Accounts,136155.0,
03-06-2026,,,Receipt,Prerana Engineers & Consultants Pvt.Ltd.,Loans (Liability),100000.0,
03-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,100000.0,
03-06-2026,,,Receipt,RADHA KRISHNA RICE MILL(HOOGHLY),MILLTEC DEBTORS,160000.0,
03-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,160000.0,
03-06-2026,,,Receipt,MAHADEVILAXMI TRADING PRIVATE LIMITED,MILLTEC DEBTORS,250000.0,
03-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,250000.0,
03-06-2026,,,Receipt,SHREE JAGANNATH FABRICS PVT. LTD.,Burdwan Debtors,5900.0,
03-06-2026,,,Receipt,BANK OF BARODA - 96960500000027 (CC),Bank Accounts,5900.0,
04-06-2026,,,Receipt,SUGAM DIAMOND PROJECTS LLP(URBAN LAKE),Calcutta Debtors,25960.0,
04-06-2026,,,Receipt,Incometax Deducted At Source,Direct Expenses,220.0,
04-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,25740.0,
04-06-2026,,,Receipt,SUGAM DIAMOND PROJECTS LLP(URBAN LAKE),Calcutta Debtors,43576.0,
04-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,43576.0,
04-06-2026,,,Receipt,SIDDHA GALAXIA SERVICES,Calcutta Debtors,51920.0,
04-06-2026,,,Receipt,Incometax Deducted At Source,Direct Expenses,440.0,
04-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,51480.0,
04-06-2026,,,Receipt,ALOKA MINI RICE MILL,MILLTEC DEBTORS,54516.0,
04-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,54516.0,
04-06-2026,,,Receipt,MA AMBE AGRO FOOD PROCESSING PVT. LTD.,Sundry Debtors,58001.0,
04-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,58001.0,
04-06-2026,,,Receipt,SIDDHA EDEN LAKEVILLE SERVICES,Calcutta Debtors,81774.0,
04-06-2026,,,Receipt,Incometax Deducted At Source,Direct Expenses,693.0,
04-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,81081.0,
04-06-2026,,,Receipt,RAKSH MONDAL,MILLTEC DEBTORS,378.0,
04-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,378.0,
04-06-2026,,,Receipt,EASTERN RICE MILL,MILLTEC DEBTORS,58410.0,
04-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,58410.0,
04-06-2026,,,Receipt,Prerana Engineers & Consultants Pvt.Ltd.,Loans (Liability),100000.0,
04-06-2026,,,Receipt,HDFC Bank - A/C NO. 04602000004130,Bank Accounts,100000.0,
04-06-2026,,,Receipt,EMAMI LIMITED,Calcutta Debtors,47200.0,
04-06-2026,,,Receipt,Incometax Deducted At Source,Direct Expenses,400.0,
04-06-2026,,,Receipt,BANK OF BARODA - 96960500000027 (CC),Bank Accounts,46800.0,
04-06-2026,,,Receipt,ANNAPURNA KNITTINGS,Burdwan Debtors,17336.0,
04-06-2026,,,Receipt,BANK OF BARODA - 96960500000027 (CC),Bank Accounts,17336.0,
04-06-2026,,,Receipt,DISHARI RICE TECH,MILLTEC DEBTORS,73420.0,
04-06-2026,,,Receipt,BANK OF BARODA - 96960500000027 (CC),Bank Accounts,73420.0,
04-06-2026,,,Receipt,HIMADRI SPECIALITY CHEMICAL LTD.,Calcutta Debtors,68440.0,
04-06-2026,,,Receipt,Incometax Deducted At Source,Direct Expenses,580.0,
04-06-2026,,,Receipt,BANK OF BARODA - 96960500000027 (CC),Bank Accounts,67860.0,
04-06-2026,,,Receipt,HOTEL SWOSTI PVT. LTD. (UNIT-3),ORISSA DEBTORS,40950.0,
04-06-2026,,,Receipt,BANK OF BARODA - 96960500000027 (CC),Bank Accounts,40950.0,
05-06-2026,,,Receipt,Kshetia Agro Products Pvt Ltd,MILLTEC DEBTORS,270000.0,
05-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,270000.0,
05-06-2026,,,Receipt,MONJILA RICE MILL,MILLTEC DEBTORS,306000.0,
05-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,306000.0,
05-06-2026,,,Receipt,DUTTA AGRO PRODUCTS PRVATE LIMITED,MILLTEC DEBTORS,44604.0,
05-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,44604.0,
05-06-2026,,,Receipt,Prerana Engineers & Consultants Pvt.Ltd.,Loans (Liability),100000.0,
05-06-2026,,,Receipt,HDFC Bank - A/C NO. 04602000004130,Bank Accounts,100000.0,
06-06-2026,,,Receipt,Prerana Engineers & Consultants Pvt.Ltd.,Loans (Liability),100000.0,
06-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,100000.0,
06-06-2026,,,Receipt,Suspense A/c,Sundry Debtors,1975.0,
06-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,1975.0,
06-06-2026,,,Receipt,KHANDAGHOSH RAKSHAKALI RICE MILL,MILLTEC DEBTORS,61751.0,
06-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,61751.0,
06-06-2026,,,Receipt,HEMRAJ RICE MILL,Burdwan Debtors,1534.0,
06-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,1534.0,
06-06-2026,,,Receipt,SRI GOPAL AGRO PRODUCT FARM,MILLTEC DEBTORS,138534.0,
06-06-2026,,,Receipt,BANK OF BARODA - 96960500000027 (CC),Bank Accounts,138534.0,
06-06-2026,,,Receipt,MANGALAM RICE MILL PVT. LTD.,MILLTEC DEBTORS,63495.0,
06-06-2026,,,Receipt,BANK OF BARODA - 96960500000027 (CC),Bank Accounts,63495.0,
06-06-2026,,,Receipt,ARYA GARDEN LLP,Calcutta Debtors,40120.0,
06-06-2026,,,Receipt,Incometax Deducted At Source,Direct Expenses,340.0,
06-06-2026,,,Receipt,BANK OF BARODA - 96960500000027 (CC),Bank Accounts,39780.0,
08-06-2026,,,Receipt,SITARAM FOOD PRODUCTS PVT.LTD.,MILLTEC DEBTORS,32568.0,
08-06-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,32568.0,
