Date,Voucher_Number,Reference,Category,Category_Type,Voucher_Type,Ledger_Name,Ledger_Parent,Amount,State_Name
11-05-2026,P/029/KOL/26-27,P/029/KES/26-27,KES,Sales,Sales,TASSEL TEXTILE,Calcutta Debtors,22204.0,West Bengal
12-05-2026,P/106/MM/26,106/MSP/26-27,MSP,Sales,Sales,Souvik Nandi,MILLTEC DEBTORS,13674.0,West Bengal
12-05-2026,P/107/MM/26,107/MSP/26-27,MSP,Sales,Sales,TARA SHANKARI AGRO,MILLTEC DEBTORS,4030.0,West Bengal
12-05-2026,P/108/MM/26,108/MSP/26-27,MSP,Sales,Sales,MAA GANDHESWARI RICE MILL PRIVATE LIMITED,MILLTEC DEBTORS,57550.0,West Bengal
12-05-2026,P/109/MM/26,109/MSP/26-27,MSP,Sales,Sales,AMAR BANGLA RICE MILL,MILLTEC DEBTORS,2150.0,West Bengal
12-05-2026,P/110/MM/26,110/MSP/26-27,MSP,Sales,Sales,AMARESH RICE MILL,MILLTEC DEBTORS,758.5,West Bengal
13-05-2026,P/111/MM/26,111/MSP/26-27,MSP,Sales,Sales,KHANDAGHOSH RICE MILL,MILLTEC DEBTORS,33280.0,West Bengal
13-05-2026,P/112/MM/26,112/MSP/26-27,MSP,Sales,Sales,DHARMARAJ RICE MILL,MILLTEC DEBTORS,68600.0,West Bengal
13-05-2026,P/113/MM/26,113/MSP/2627,MSP,Sales,Sales,Mery Rice Mill,MILLTEC DEBTORS,51542.0,West Bengal
14-05-2026,P/114/MM/26,114/MSP/26-27,MSP,Sales,Sales,Notun Bangla Rice Mill Pvt. Ltd,MILLTEC DEBTORS,44540.0,West Bengal
14-05-2026,P/115/MM/26,115/MSP/26-27,MSP,Sales,Sales,Novatech Agro Products Private Limited,MILLTEC DEBTORS,22016.0,West Bengal
14-05-2026,P/116/MM/26,116/MSM/26-27,MSM,Sales,Sales,KHANDAGHOSH RAKSHAKALI RICE MILL,MILLTEC DEBTORS,17797.0,West Bengal
14-05-2026,P/117/MM/26,117/MSP/26-27,MSP,Sales,Sales,ABHIMANYU GUPTA,MILLTEC DEBTORS,39477.0,West Bengal
14-05-2026,P/118/MM/26,118/MSP/26-27,MSP,Sales,Sales,J S RICE MILL,MILLTEC DEBTORS,22450.0,West Bengal
14-05-2026,P/119/MM/26,119/MSP/26-27,MSP,Sales,Sales,Goodpoint Agro Products Pvt.Ltd.,MILLTEC DEBTORS,115800.0,West Bengal
14-05-2026,P/030/KOL/26-27,P/030/WTS/26-27,WTS,Sales,Sales,GRASIM INDUSTRIES LIMITED,Calcutta Debtors,18533.0,West Bengal
15-05-2026,P/120/MM/26,120/MSP/26-27,MSP,Sales,Sales,SHUBHAM AGRITECH PRIVATE LIMITED,MILLTEC DEBTORS,1240.0,West Bengal
15-05-2026,P/121/MM/26,121/MSP/26-27,MSP,Sales,Sales,RADHASHYAM INDUSTRIES PVT. LTD.,MILLTEC DEBTORS,48000.0,West Bengal
15-05-2026,P/122/MM/26,122/MSP/26-27,MSP,Sales,Sales,HEMRAJ RICE MILL,Burdwan Debtors,172370.0,West Bengal
15-05-2026,P/123/MM/26,123/MSP/26-27,MSP,Sales,Sales,DHARMARAJ RICE MILL PVT.LTD,MILLTEC DEBTORS,1555.0,West Bengal
15-05-2026,P/124/MM/26,124/MSP/26-27,MSP,Sales,Sales,DUTTA AGRO PRODUCTS PRVATE LIMITED,MILLTEC DEBTORS,37800.0,West Bengal
15-05-2026,P/125/MM/26,125/MSP/26-27,MSP,Sales,Sales,KEDARNATH FOOD PRODUCTS,MILLTEC DEBTORS,27960.0,West Bengal
15-05-2026,P/126/MM/26,126/MSP/25-26,MSP,Sales,Sales,Smritikona Agro Products Pvt. Ltd.,MILLTEC DEBTORS,42907.0,West Bengal
16-05-2026,P/127/MM/26,127/MSP/26-27,MSP,Sales,Sales,RAMKRISHNA RICE MILL (P) LTD,Burdwan Debtors,60545.0,West Bengal
18-05-2026,P/128/MM/26,128/MSP/26-27,MSP,Sales,Sales,MANGALAM RICE MILL PVT. LTD.,MILLTEC DEBTORS,53020.0,West Bengal
18-05-2026,P/129/MM/26,129/MSP/26-27,MSP,Sales,Sales,SAHALAL RICE MILL PRIVATE LIMITED,MILLTEC DEBTORS,62840.0,West Bengal
18-05-2026,P/130/MM/26,130/MSP/26-27,MSP,Sales,Sales,SITARAM FOOD PRODUCTS PVT.LTD.,MILLTEC DEBTORS,2593.0,West Bengal
18-05-2026,P/131/MM/26,131/MSP/26-27,MSP,Sales,Sales,Subha Laxmi Rice Mills Pvt Ltd,MILLTEC DEBTORS,7190.0,West Bengal
18-05-2026,P/132/MM/26,132/MSP/26-27,MSP,Sales,Sales,M/S SHIVRAJ RICE MILL,MILLTEC DEBTORS,56610.0,West Bengal
18-05-2026,P/133/MM/26,133/MSP/26-27,MSP,Sales,Sales,RADHA DAMODAR RICE MILL,MILLTEC DEBTORS,30015.0,West Bengal
18-05-2026,P/134/MM/26,134/MSM/26-27,MSM,Sales,Sales,DASGHARA AGRO PRODUCT,MILLTEC DEBTORS,338983.0,West Bengal
18-05-2026,P/135/MM/26,135/MSM/26-27,MSM,Sales,Sales,Pinak Agro Products,MILLTEC DEBTORS,593220.0,West Bengal
18-05-2026,P/136/MM/26,136/MSM/26-27,MSM,Sales,Sales,BABA BHOLANATH FOOD PRODUCT,MILLTEC DEBTORS,377119.0,West Bengal
19-05-2026,P/137/MM/26,137/MSP/26-27,MSP,Sales,Sales,SRI GOPAL AGRO PRODUCT FARM,MILLTEC DEBTORS,14650.0,West Bengal
19-05-2026,P/138/MM/26,138/MSP/26-27,MSP,Sales,Sales,Basudevpur Agro Products Pvt.Ltd.,MILLTEC DEBTORS,28305.0,West Bengal
19-05-2026,P/139/MM/26,139/MSP/26-27,MSP,Sales,Sales,JAMINI RICE MILL,MILLTEC DEBTORS,10600.0,West Bengal
19-05-2026,P/140/MM/26,140/MSP/26-27,MSP,Sales,Sales,SRI DURGAMATA RICE MILL PVT. LTD.,MILLTEC DEBTORS,48950.0,West Bengal
19-05-2026,P/031/KOL/26-27,P/031/KES/26-27,KES,Sales,Sales,Shiv Industries Food Pvt.Ltd,Burdwan Debtors,153789.0,West Bengal
19-05-2026,P/032/KOL/26-27,P/032/KES/26-27,KES,Sales,Sales,BHAGAWATI CERIALS PVT LTD,MILLTEC DEBTORS,2109.0,West Bengal
19-05-2026,P/033/KOL/26-27,P/033/KES/26-27,KES,Sales,Sales,PARANKUSH FOOD PROCESSING & RICE MILL PVT. LTD.,KAESER DEBTORS,13092.0,West Bengal
20-05-2026,P/141/MM/36,141/MSP/26-27,MSP,Sales,Sales,Buroraj Rice Mill,MILLTEC DEBTORS,60700.0,West Bengal
20-05-2026,P/142/MM/26,142/MSP/26-27,MSP,Sales,Sales,SAHALAL RICE MILL PRIVATE LIMITED,MILLTEC DEBTORS,290.0,West Bengal
20-05-2026,P/034/KOL/26-27,P/034/KES/26-27,KES,Sales,Sales,DREAM WORLD PACKAGING PVT LTD,Burdwan Debtors,16205.0,West Bengal
21-05-2026,P/143/MM/26,143/MSP/26-27,MSP,Sales,Sales,SURAPATI AGRO PRODUCT PVT.LTD.,MILLTEC DEBTORS,7500.0,West Bengal
21-05-2026,P/144/MM/26,144/MSP/26-27,MSP,Sales,Sales,AMBER RICE MILL PRIVTE LIMITED,MILLTEC DEBTORS,51760.0,West Bengal
22-05-2026,P/145/MM/26,145/MSP/26-27,MSP,Sales,Sales,KHANDAGHOSH RICE MILL,MILLTEC DEBTORS,48950.0,West Bengal
22-05-2026,P/146/MM/26,146/MSP/26-27,MSP,Sales,Sales,NEW SHIVASAMBHU RICE MILL,MILLTEC DEBTORS,56230.0,West Bengal
22-05-2026,P/147/MM/26,147/MSP/2627,MSP,Sales,Sales,DEEPAK KR TAH,MILLTEC DEBTORS,2008.5,West Bengal
22-05-2026,P/148/MM/26,148/MSP/26-27,MSP,Sales,Sales,DHARMARAJ RICE MILL,MILLTEC DEBTORS,13250.0,West Bengal
22-05-2026,P/149/MM/26,149/MSP/26-27,MSP,Sales,Sales,Goodpoint Agro Products Pvt.Ltd.,MILLTEC DEBTORS,81780.0,West Bengal
22-05-2026,P/150/MM/26,150/MSP/26-27,MSP,Sales,Sales,Ganapati Agro Products,MILLTEC DEBTORS,104740.0,West Bengal
22-05-2026,P/035/KOL/26-27,P/035/KES/26-27,KES,Sales,Sales,SUBHA RAKHA KALI RICE MILL PVT. LTD.,Burdwan Debtors,20627.0,West Bengal
22-05-2026,P/036/KOL/26-27,P/036/KES/26-27,KES,Sales,Sales,DHARMARAJ RICE MILL,MILLTEC DEBTORS,42321.0,West Bengal
23-05-2026,P/151/MM/26,151/MSP/26-27,MSP,Sales,Sales,MANGALAM RICE MILL PVT. LTD.,MILLTEC DEBTORS,7680.0,West Bengal
23-05-2026,P/152/MM/26,152/MSP/26-27,MSP,Sales,Sales,,,0.0,
23-05-2026,P/153/MM/26,153/MSP/26-27,MSP,Sales,Sales,PURBABARDHAMAN AGRO PRIVATE LIMITED,MILLTEC DEBTORS,8033.88,West Bengal
23-05-2026,P/154/MM/26,154/MSP/26-27,MSP,Sales,Sales,MAA GANDHESWARI RICE MILL PRIVATE LIMITED,MILLTEC DEBTORS,65405.0,West Bengal
23-05-2026,P/155/MM/26,155/MSP/26-27,MSP,Sales,Sales,PARIMAL KUMAR,MILLTEC DEBTORS,3485.0,West Bengal
23-05-2026,P/156/MM/26,1156/MSP/26-27,MSP,Sales,Sales,KHANDAGHOSH RICE MILL,MILLTEC DEBTORS,9360.0,West Bengal
23-05-2026,P/157/MM/26,157/MSP/26-27,MSP,Sales,Sales,JOY MAA KALI MINI RICE MILL,MILLTEC DEBTORS,57625.0,West Bengal
23-05-2026,P/158/MM/26,158/MSP/26-27,MSP,Sales,Sales,Goodpoint Agro Products Pvt.Ltd.,MILLTEC DEBTORS,4505.0,West Bengal
23-05-2026,P/037/KOL/26-27,P/037/KES/26-27,KES,Sales,Sales,MAA SHANTIMOYEE RICE MILL PVT. LTD.,Burdwan Debtors,20114.0,West Bengal
25-05-2026,P/160/MM/26,P/160/MSP/26-27,MSP,Sales,Sales,M/S SABITA RICE MILL,MILLTEC DEBTORS,9350.0,West Bengal
25-05-2026,P/159/MM/26,159/MSP/26-27,MSP,Sales,Sales,INDRA JYOTI RICE MILL PVT.LTD,MILLTEC DEBTORS,31800.0,West Bengal
26-05-2026,P/161/MM/26,161/MSP/26-27,MSP,Sales,Sales,AZADHIND RICE MILL,MILLTEC DEBTORS,30070.0,West Bengal
26-05-2026,P/162/MM/26,162/MSP/26-27,MSP,Sales,Sales,DHARMARAJ RICE MILL PVT.LTD,MILLTEC DEBTORS,30275.0,West Bengal
26-05-2026,P/163/MM/26,163/MSP/26-27,MSP,Sales,Sales,Basudevpur Agro Products Pvt.Ltd.,MILLTEC DEBTORS,63595.0,West Bengal
26-05-2026,P/164/MM/26,164/MSP/26-27,MSP,Sales,Sales,HEMRAJ RICE MILL,Burdwan Debtors,1300.0,West Bengal
27-05-2026,P/165/MM/26,165/MSP/26-27,MSP,Sales,Sales,GOPAL GOBINDA RICE MILL,MILLTEC DEBTORS,87710.0,West Bengal
27-05-2026,P/166/MM/26,166MSP/26-27,26-27,Sales,Sales,DHANIKHALI AGRO PRODUCTS PVT. LTD.,Burdwan Debtors,31096.0,West Bengal
27-05-2026,P/167/MM/26,167/MSP/26-27,MSP,Sales,Sales,SAMBHUNATH RICE MILL,MILLTEC DEBTORS,3315.0,West Bengal
27-05-2026,P/168/MM/26,168/MSP/26-27,MSP,Sales,Sales,Ahusara Agro Products Pvt. Ltd,MILLTEC DEBTORS,35700.0,West Bengal
27-05-2026,P/169/MM/26,167/MSP/26-27,MSP,Sales,Sales,Jay Baba Bakreswar Rice Mill Pvt Ltd.,MILLTEC DEBTORS,109816.0,West Bengal
27-05-2026,P/170/MM/26,170/MSP/26-27,MSP,Sales,Sales,Smritikona Agro Products Pvt. Ltd.,MILLTEC DEBTORS,85730.0,West Bengal
28-05-2026,P/171/MM/26,171/MSP/26-27,MSP,Sales,Sales,MAINAK AGRO FOOD PRODUCTS,MILLTEC DEBTORS,3772.0,West Bengal
28-05-2026,P/172/MM/26,172/MSP/26-27,MSP,Sales,Sales,GIRIRAJ RICE MILL PRIVATE LIMITED,MILLTEC DEBTORS,48950.0,West Bengal
28-05-2026,P/173/MM/26,173/MSP/26-27,MSP,Sales,Sales,Pradip Roy,MILLTEC DEBTORS,49750.0,West Bengal
28-05-2026,P/174/MM/26,174/MSP/26-27,MSP,Sales,Sales,RAMI CHANDIDAS RICE MILL PVT.LTD.,MILLTEC DEBTORS,54400.0,West Bengal
28-05-2026,P/175/MM/26,175/MSP/26-27,MSP,Sales,Sales,Rajkinkar Agro Products,MILLTEC DEBTORS,27600.0,West Bengal
28-05-2026,P/176/MM/26,176/MSP/26-27,MSP,Sales,Sales,SHREE SHAKTI RICE MILL,MILLTEC DEBTORS,93240.0,West Bengal
29-05-2026,P/177/MM/26,177/MSP/26-27,MSP,Sales,Sales,Mery Rice Mill,MILLTEC DEBTORS,34230.0,West Bengal
29-05-2026,P/178/MM/26,178/MSP/26-27,MSP,Sales,Sales,Sangra Rice Mill Pvt. Ltd,MILLTEC DEBTORS,22300.0,West Bengal
29-05-2026,P/179/MM/26,179/MSP/26-27,MSP,Sales,Sales,Goodpoint Agro Products Pvt.Ltd.,MILLTEC DEBTORS,123200.0,West Bengal
29-05-2026,P/180/MM/26,180/MSP/26-27,MSP,Sales,Sales,DEBI ANNAPURNA RICE MILL,MILLTEC DEBTORS,40200.0,West Bengal
29-05-2026,P/038/KOL/26-27,P/038/KES/26-27,KES,Sales,Sales,Barjora Packaging Industries,Burdwan Debtors,26718.0,West Bengal
29-05-2026,P/039/KOL/26-27,P/039/KES/26-27,KES,Sales,Sales,MANGALAM RICE MILL PVT. LTD.,MILLTEC DEBTORS,22204.0,West Bengal
29-05-2026,P/040/KOL/26-27,P/040/KES/26-27,KES,Sales,Sales,HOOGHLY AGRO PRODUCTS PVT. LTD.,Burdwan Debtors,13906.0,West Bengal
30-05-2026,P/181/MM/26,181/MSP/26-27,MSP,Sales,Sales,BISWAMITRA RICE MILL,MILLTEC DEBTORS,30330.5,West Bengal
30-05-2026,P/182/MM/26,182/MSP/26-27,MSP,Sales,Sales,BHOLANATH RICE MILL,MILLTEC DEBTORS,3771.0,West Bengal
30-05-2026,P/183/MM/26,183/MSP/26-27,MSP,Sales,Sales,PARAJ TRADING MINI RICE MILL,MILLTEC DEBTORS,6190.0,West Bengal
30-05-2026,P/184/MM/26,184/MSP/26-27,MSP,Sales,Sales,H R RICE MILLS PRIVATE LIMITED,MILLTEC DEBTORS,34492.0,West Bengal
